key current-time xcor ycor available-power actual-power
 75 0.7614002707471306 -9.481631975184643 -14.53227393806498 0 0 
 19 0.7614002707471306 2.0208685128574007 -1.117365939949743 2 2 
 80 0.7614002707471306 -2.5287723489215583 10.004214021588377 0 0 
 70 0.7614002707471306 -11.776854784574486 17.35469042858547 -1 -1 
 53 0.7614002707471306 -13.454021537017509 13.01154306897319 0 0 
 65 0.7614002707471306 12.551734779679961 -9.936485377204676 -1 -1 
 56 0.7614002707471306 -5.820920287329406 -7.310567605107249 0 0 
 7 0.7614002707471306 -12.559122958651795 -15.02210994318777 0 0 
 81 0.7614002707471306 -11.463407065676664 -0.5982819875785471 -1 -1 
 13 0.7614002707471306 -5.069633181947571 9.878948318736859 0 0 
 72 0.7873022936663332 17.024768731197067 15.283694415028867 0 0 
 17 0.7873022936663332 7.579435062500405 15.399753624436336 0 0 
 20 0.7873022936663332 10.646553585553336 -16.90855108106885 0 0 
 44 0.7873022936663332 12.466130423634933 8.861287039077068 0 0 
 41 0.7873022936663332 19.025704142992872 -16.692093868453078 0 0 
 33 0.7873022936663332 -11.574852106315978 7.550462329010356 -2 -2 
 68 0.7873022936663332 -4.187036019648434 15.487310076159217 0 0 
 27 0.7873022936663332 -15.364660936409493 7.421403601860239 0 0 
 57 0.7873022936663332 3.4859301819992408 -7.436198341448732 0 0 
 16 0.7873022936663332 10.26635618005488 7.616119073824904 0 0 
 73 0.7873022936663332 -5.396643686168911 0.987826436676846 0 0 
 63 0.7873022936663332 -5.359960121553146 -6.808910216553386 0 0 
 4 0.7873022936663332 13.930100575548057 -8.50695034772436 0 0 
 67 0.7873022936663332 -12.419729093872041 14.986582861222868 0 0 
 11 0.7873022936663332 -15.84859431361239 4.366823511798027 1 1 
 60 0.7873022936663332 9.098939729228467 4.233798299775415 0 0 
 23 0.7873022936663332 -18.393607458532255 13.426603661559314 -1 -1 
 58 0.7873022936663332 3.907132301410141 4.7459377730761005 0 0 
 39 0.7873022936663332 -5.05781154479386 18.862872736555406 0 0 
 12 0.7873022936663332 10.790132331461171 18.72924936134638 1 1 
 71 0.7873022936663332 -7.037168159408072 8.015605317551355 0 0 
 83 0.7873022936663332 11.694341143619459 15.360031663505866 0 0 
 43 0.7873022936663332 -6.162816136405525 -4.552003484270968 0 0 
 87 0.7873022936663332 12.439267688096264 13.350328983617842 2 2 
 36 0.7873022936663332 17.00557911147455 -0.8391659505986233 1 1 
 51 0.7873022936663332 -13.260207813371707 -19.38428681028395 0 0 
 66 0.7873022936663332 9.650024562178176 -15.337028679930116 0 0 
 90 0.7873022936663332 -5.378046639912831 17.281381248557455 0 0 
 74 0.7873022936663332 -14.915859648333088 14.380482608647066 0 0 
 2 0.7873022936663332 13.08336197920077 7.866904838700848 0 0 
 24 0.7873022936663332 -9.750904590490986 2.771686849242403 0 0 
 70 0.7873022936663332 -11.776854784574486 17.35469042858547 -1 -1 
 26 0.7873022936663332 -19.25748528536692 19.083419643415006 0 0 
 80 0.7873022936663332 -2.5287723489215583 10.004214021588377 0 0 
 84 0.7873022936663332 -19.0540488157301 4.95356792121487 0 0 
 5 0.7873022936663332 -6.220364628048433 -12.184131870496504 0 0 
 37 0.7873022936663332 16.87636812983778 -17.180208671219635 0 0 
 14 0.7873022936663332 -12.227053252494873 -19.005302536966955 0 0 
 25 0.7873022936663332 16.733804236395557 9.11056992205882 0 0 
 79 0.7873022936663332 0.8910569228261852 -7.557194181443162 0 0 
 88 0.7873022936663332 -3.3697728116271106 9.412208119527643 0 0 
 42 0.7873022936663332 7.197410033031856 -13.418264441292147 0 0 
 65 0.7873022936663332 12.551734779679961 -9.936485377204676 -1 -1 
 6 0.7873022936663332 -7.581748693078589 10.602840468080718 0 0 
 32 0.7873022936663332 -2.674793027485206 11.77297704706987 0 0 
 50 0.7873022936663332 17.599858459013706 8.398878313775532 0 0 
 53 0.7873022936663332 -13.454021537017509 13.01154306897319 0 0 
 89 0.7873022936663332 -5.309673688691529 -6.473523558282489 0 0 
 48 0.7873022936663332 9.444919765806272 17.6304073543596 0 0 
 18 0.7873022936663332 -10.803293482099027 12.945685077826955 -2 -2 
 13 0.7873022936663332 -5.069633181947571 9.878948318736859 0 0 
 22 0.7873022936663332 16.330838041040064 -14.269655355350952 0 0 
 3 0.7873022936663332 3.7052298116320124 6.986642819718821 0 0 
 15 0.7873022936663332 -7.519190256525442 -1.3540062339448606 2 2 
 82 0.7873022936663332 5.208583159685876 6.697217377127462 0 0 
 75 0.7873022936663332 -9.481631975184643 -14.53227393806498 0 0 
 54 0.7873022936663332 19.22310070314737 18.157318862387932 0 0 
 81 0.7873022936663332 -11.463407065676664 -0.5982819875785471 -1 -1 
 55 0.7873022936663332 -0.38815486436655566 -4.035135288348141 0 0 
 29 0.7873022936663332 -4.712429806496932 4.746406362943554 0 0 
 8 0.7873022936663332 -5.11746919706504 9.639346701191863 0 0 
 35 0.7873022936663332 -11.079637738684582 -14.579829593156607 1 1 
 47 0.7873022936663332 -1.9982144826272223 8.502864246115744 0 0 
 86 0.7873022936663332 -9.630754268543509 -13.376267564514972 0 0 
 52 0.7873022936663332 12.71544337811304 -10.206310020445384 0 0 
 61 0.7873022936663332 19.12810504727557 14.762222990786954 0 0 
 85 0.7873022936663332 -8.513301081780673 -9.380606096226595 0 0 
 38 0.7873022936663332 13.615834250209176 -8.859895258400106 0 0 
 31 0.7873022936663332 10.78170967989119 5.410543907070631 0 0 
 10 0.7873022936663332 12.956119612766265 3.0384664343199175 0 0 
 76 0.7873022936663332 3.562773517058387 4.919344548611216 0 0 
 49 0.7873022936663332 -1.5572468109976318 -1.1233757759091216 0 0 
 34 0.7873022936663332 -19.08071653588689 13.850652585694316 0 0 
 40 0.7873022936663332 -11.434940188328202 16.943455046018542 0 0 
 9 0.7873022936663332 -4.94006398169114 -13.82750801046523 0 0 
 30 0.7873022936663332 -13.182307898507894 -8.958480617479516 0 0 
 69 0.7873022936663332 -17.199053486097124 3.1625103085788275 0 0 
 28 0.7873022936663332 9.672758555553541 -17.070920513099896 0 0 
 59 0.7873022936663332 2.7434302064194096 4.367502652179284 -2 -2 
 77 0.7873022936663332 2.539954100051991 1.7949913120392895 0 0 
 45 0.7873022936663332 -10.776612395533705 -19.344392676312086 0 0 
 46 0.7873022936663332 8.450402785947626 13.822852924495113 0 0 
 56 0.7873022936663332 -5.820920287329406 -7.310567605107249 0 0 
 7 0.7873022936663332 -12.559122958651795 -15.02210994318777 0 0 
 1 0.7873022936663332 -6.559786282193222 6.903200500044626 0 0 
 64 0.7873022936663332 -0.30834534705520084 -17.04294044091595 0 0 
 19 0.7873022936663332 2.0208685128574007 -1.117365939949743 2 2 
 62 0.7873022936663332 -13.682408486693163 -8.30624548588482 0 0 
 78 0.7873022936663332 -4.686277330667576 10.660516399986836 0 0 
 21 0.7873022936663332 5.2125880637333495 10.411173866490635 0 0 
 14 0.8521917326467003 -12.227053252494873 -19.005302536966955 0 0 
 24 0.8521917326467003 -9.750904590490986 2.771686849242403 0 0 
 79 0.8521917326467003 0.8910569228261852 -7.557194181443162 0 0 
 41 0.8521917326467003 19.025704142992872 -16.692093868453078 0 0 
 6 0.8521917326467003 -7.581748693078589 10.602840468080718 0 0 
 10 0.8521917326467003 12.956119612766265 3.0384664343199175 0 0 
 80 0.8521917326467003 -2.5287723489215583 10.004214021588377 0 0 
 16 0.8521917326467003 10.26635618005488 7.616119073824904 0 0 
 39 0.8521917326467003 -5.05781154479386 18.862872736555406 0 0 
 84 0.8521917326467003 -19.0540488157301 4.95356792121487 0 0 
 64 0.8521917326467003 -0.30834534705520084 -17.04294044091595 0 0 
 47 0.8521917326467003 -1.9982144826272223 8.502864246115744 0 0 
 76 0.8521917326467003 3.562773517058387 4.919344548611216 0 0 
 34 0.8521917326467003 -19.08071653588689 13.850652585694316 0 0 
 75 0.8521917326467003 -9.481631975184643 -14.53227393806498 0 0 
 87 0.8521917326467003 12.439267688096264 13.350328983617842 2 2 
 65 0.8521917326467003 12.551734779679961 -9.936485377204676 -1 -1 
 55 0.8521917326467003 -0.38815486436655566 -4.035135288348141 0 0 
 23 0.8521917326467003 -18.393607458532255 13.426603661559314 -1 -1 
 45 0.8521917326467003 -10.776612395533705 -19.344392676312086 0 0 
 72 0.8521917326467003 17.024768731197067 15.283694415028867 0 0 
 86 0.8521917326467003 -9.630754268543509 -13.376267564514972 0 0 
 85 0.8521917326467003 -8.513301081780673 -9.380606096226595 0 0 
 27 0.8521917326467003 -15.364660936409493 7.421403601860239 0 0 
 36 0.8521917326467003 17.00557911147455 -0.8391659505986233 1 1 
 62 0.8521917326467003 -13.682408486693163 -8.30624548588482 0 0 
 60 0.8521917326467003 9.098939729228467 4.233798299775415 0 0 
 44 0.8521917326467003 12.466130423634933 8.861287039077068 0 0 
 7 0.8521917326467003 -12.559122958651795 -15.02210994318777 0 0 
 83 0.8521917326467003 11.694341143619459 15.360031663505866 0 0 
 25 0.8521917326467003 16.733804236395557 9.11056992205882 0 0 
 9 0.8521917326467003 -4.94006398169114 -13.82750801046523 0 0 
 81 0.8521917326467003 -11.463407065676664 -0.5982819875785471 -1 -1 
 52 0.8521917326467003 12.71544337811304 -10.206310020445384 0 0 
 20 0.8521917326467003 10.646553585553336 -16.90855108106885 0 0 
 43 0.8521917326467003 -6.162816136405525 -4.552003484270968 0 0 
 88 0.8521917326467003 -3.3697728116271106 9.412208119527643 0 0 
 28 0.8521917326467003 9.672758555553541 -17.070920513099896 0 0 
 82 0.8521917326467003 5.208583159685876 6.697217377127462 0 0 
 31 0.8521917326467003 10.78170967989119 5.410543907070631 0 0 
 59 0.8521917326467003 2.7434302064194096 4.367502652179284 -2 -2 
 57 0.8521917326467003 3.4859301819992408 -7.436198341448732 0 0 
 48 0.8521917326467003 9.444919765806272 17.6304073543596 0 0 
 70 0.8521917326467003 -11.776854784574486 17.35469042858547 -1 -1 
 66 0.8521917326467003 9.650024562178176 -15.337028679930116 0 0 
 15 0.8521917326467003 -7.519190256525442 -1.3540062339448606 2 2 
 30 0.8521917326467003 -13.182307898507894 -8.958480617479516 0 0 
 11 0.8521917326467003 -15.84859431361239 4.366823511798027 1 1 
 29 0.8521917326467003 -4.712429806496932 4.746406362943554 0 0 
 22 0.8521917326467003 16.330838041040064 -14.269655355350952 0 0 
 67 0.8521917326467003 -12.419729093872041 14.986582861222868 0 0 
 17 0.8521917326467003 7.579435062500405 15.399753624436336 0 0 
 71 0.8521917326467003 -7.037168159408072 8.015605317551355 0 0 
 78 0.8521917326467003 -4.686277330667576 10.660516399986836 0 0 
 18 0.8521917326467003 -10.803293482099027 12.945685077826955 -2 -2 
 42 0.8521917326467003 7.197410033031856 -13.418264441292147 0 0 
 68 0.8521917326467003 -4.187036019648434 15.487310076159217 0 0 
 32 0.8521917326467003 -2.674793027485206 11.77297704706987 0 0 
 2 0.8521917326467003 13.08336197920077 7.866904838700848 0 0 
 63 0.8521917326467003 -5.359960121553146 -6.808910216553386 0 0 
 58 0.8521917326467003 3.907132301410141 4.7459377730761005 0 0 
 73 0.8521917326467003 -5.396643686168911 0.987826436676846 0 0 
 33 0.8521917326467003 -11.574852106315978 7.550462329010356 -2 -2 
 56 0.8521917326467003 -5.820920287329406 -7.310567605107249 0 0 
 77 0.8521917326467003 2.539954100051991 1.7949913120392895 0 0 
 89 0.8521917326467003 -5.309673688691529 -6.473523558282489 0 0 
 1 0.8521917326467003 -6.559786282193222 6.903200500044626 0 0 
 13 0.8521917326467003 -5.069633181947571 9.878948318736859 0 0 
 5 0.8521917326467003 -6.220364628048433 -12.184131870496504 0 0 
 35 0.8521917326467003 -11.079637738684582 -14.579829593156607 1 1 
 26 0.8521917326467003 -19.25748528536692 19.083419643415006 0 0 
 3 0.8521917326467003 3.7052298116320124 6.986642819718821 0 0 
 4 0.8521917326467003 13.930100575548057 -8.50695034772436 0 0 
 19 0.8521917326467003 2.0208685128574007 -1.117365939949743 2 2 
 50 0.8521917326467003 17.599858459013706 8.398878313775532 0 0 
 51 0.8521917326467003 -13.260207813371707 -19.38428681028395 0 0 
 40 0.8521917326467003 -11.434940188328202 16.943455046018542 0 0 
 90 0.8521917326467003 -5.378046639912831 17.281381248557455 0 0 
 69 0.8521917326467003 -17.199053486097124 3.1625103085788275 0 0 
 12 0.8521917326467003 10.790132331461171 18.72924936134638 1 1 
 8 0.8521917326467003 -5.11746919706504 9.639346701191863 0 0 
 38 0.8521917326467003 13.615834250209176 -8.859895258400106 0 0 
 53 0.8521917326467003 -13.454021537017509 13.01154306897319 0 0 
 61 0.8521917326467003 19.12810504727557 14.762222990786954 0 0 
 37 0.8521917326467003 16.87636812983778 -17.180208671219635 0 0 
 54 0.8521917326467003 19.22310070314737 18.157318862387932 0 0 
 21 0.8521917326467003 5.2125880637333495 10.411173866490635 0 0 
 74 0.8521917326467003 -14.915859648333088 14.380482608647066 0 0 
 46 0.8521917326467003 8.450402785947626 13.822852924495113 0 0 
 49 0.8521917326467003 -1.5572468109976318 -1.1233757759091216 0 0 
 20 0.8742405935898888 10.646553585553336 -16.90855108106885 0 0 
 10 0.8742405935898888 12.956119612766265 3.0384664343199175 0 0 
 59 0.8742405935898888 2.7434302064194096 4.367502652179284 -2 -2 
 35 0.8742405935898888 -11.079637738684582 -14.579829593156607 1 1 
 43 0.8742405935898888 -6.162816136405525 -4.552003484270968 0 0 
 63 0.8742405935898888 -5.359960121553146 -6.808910216553386 0 0 
 26 0.8742405935898888 -19.25748528536692 19.083419643415006 0 0 
 52 0.8742405935898888 12.71544337811304 -10.206310020445384 0 0 
 9 0.8742405935898888 -4.94006398169114 -13.82750801046523 0 0 
 8 0.8742405935898888 -5.11746919706504 9.639346701191863 0 0 
 72 0.8742405935898888 17.024768731197067 15.283694415028867 0 0 
 32 0.8742405935898888 -2.674793027485206 11.77297704706987 0 0 
 74 0.8742405935898888 -14.915859648333088 14.380482608647066 0 0 
 68 0.8742405935898888 -4.187036019648434 15.487310076159217 0 0 
 65 0.8742405935898888 12.551734779679961 -9.936485377204676 -1 -1 
 25 0.8742405935898888 16.733804236395557 9.11056992205882 0 0 
 22 0.8742405935898888 16.330838041040064 -14.269655355350952 0 0 
 36 0.8742405935898888 17.00557911147455 -0.8391659505986233 1 1 
 34 0.8742405935898888 -19.08071653588689 13.850652585694316 0 0 
 2 0.8742405935898888 13.08336197920077 7.866904838700848 0 0 
 64 0.8742405935898888 -0.30834534705520084 -17.04294044091595 0 0 
 4 0.8742405935898888 13.930100575548057 -8.50695034772436 0 0 
 46 0.8742405935898888 8.450402785947626 13.822852924495113 0 0 
 41 0.8742405935898888 19.025704142992872 -16.692093868453078 0 0 
 13 0.8742405935898888 -5.069633181947571 9.878948318736859 0 0 
 86 0.8742405935898888 -9.630754268543509 -13.376267564514972 0 0 
 77 0.8742405935898888 2.539954100051991 1.7949913120392895 0 0 
 31 0.8742405935898888 10.78170967989119 5.410543907070631 0 0 
 61 0.8742405935898888 19.12810504727557 14.762222990786954 0 0 
 83 0.8742405935898888 11.694341143619459 15.360031663505866 0 0 
 79 0.8742405935898888 0.8910569228261852 -7.557194181443162 0 0 
 38 0.8742405935898888 13.615834250209176 -8.859895258400106 0 0 
 47 0.8742405935898888 -1.9982144826272223 8.502864246115744 0 0 
 12 0.8742405935898888 10.790132331461171 18.72924936134638 1 1 
 60 0.8742405935898888 9.098939729228467 4.233798299775415 0 0 
 66 0.8742405935898888 9.650024562178176 -15.337028679930116 0 0 
 7 0.8742405935898888 -12.559122958651795 -15.02210994318777 0 0 
 1 0.8742405935898888 -6.559786282193222 6.903200500044626 0 0 
 44 0.8742405935898888 12.466130423634933 8.861287039077068 0 0 
 51 0.8742405935898888 -13.260207813371707 -19.38428681028395 0 0 
 50 0.8742405935898888 17.599858459013706 8.398878313775532 0 0 
 89 0.8742405935898888 -5.309673688691529 -6.473523558282489 0 0 
 57 0.8742405935898888 3.4859301819992408 -7.436198341448732 0 0 
 30 0.8742405935898888 -13.182307898507894 -8.958480617479516 0 0 
 16 0.8742405935898888 10.26635618005488 7.616119073824904 0 0 
 69 0.8742405935898888 -17.199053486097124 3.1625103085788275 0 0 
 81 0.8742405935898888 -11.463407065676664 -0.5982819875785471 -1 -1 
 58 0.8742405935898888 3.907132301410141 4.7459377730761005 0 0 
 53 0.8742405935898888 -13.454021537017509 13.01154306897319 0 0 
 45 0.8742405935898888 -10.776612395533705 -19.344392676312086 0 0 
 67 0.8742405935898888 -12.419729093872041 14.986582861222868 0 0 
 21 0.8742405935898888 5.2125880637333495 10.411173866490635 0 0 
 85 0.8742405935898888 -8.513301081780673 -9.380606096226595 0 0 
 11 0.8742405935898888 -15.84859431361239 4.366823511798027 1 1 
 19 0.8742405935898888 2.0208685128574007 -1.117365939949743 2 2 
 56 0.8742405935898888 -5.820920287329406 -7.310567605107249 0 0 
 39 0.8742405935898888 -5.05781154479386 18.862872736555406 0 0 
 14 0.8742405935898888 -12.227053252494873 -19.005302536966955 0 0 
 15 0.8742405935898888 -7.519190256525442 -1.3540062339448606 2 2 
 84 0.8742405935898888 -19.0540488157301 4.95356792121487 0 0 
 76 0.8742405935898888 3.562773517058387 4.919344548611216 0 0 
 80 0.8742405935898888 -2.5287723489215583 10.004214021588377 0 0 
 87 0.8742405935898888 12.439267688096264 13.350328983617842 2 2 
 37 0.8742405935898888 16.87636812983778 -17.180208671219635 0 0 
 42 0.8742405935898888 7.197410033031856 -13.418264441292147 0 0 
 78 0.8742405935898888 -4.686277330667576 10.660516399986836 0 0 
 48 0.8742405935898888 9.444919765806272 17.6304073543596 0 0 
 33 0.8742405935898888 -11.574852106315978 7.550462329010356 -2 -2 
 29 0.8742405935898888 -4.712429806496932 4.746406362943554 0 0 
 17 0.8742405935898888 7.579435062500405 15.399753624436336 0 0 
 55 0.8742405935898888 -0.38815486436655566 -4.035135288348141 0 0 
 54 0.8742405935898888 19.22310070314737 18.157318862387932 0 0 
 73 0.8742405935898888 -5.396643686168911 0.987826436676846 0 0 
 27 0.8742405935898888 -15.364660936409493 7.421403601860239 0 0 
 88 0.8742405935898888 -3.3697728116271106 9.412208119527643 0 0 
 90 0.8742405935898888 -5.378046639912831 17.281381248557455 0 0 
 40 0.8742405935898888 -11.434940188328202 16.943455046018542 0 0 
 28 0.8742405935898888 9.672758555553541 -17.070920513099896 0 0 
 71 0.8742405935898888 -7.037168159408072 8.015605317551355 0 0 
 70 0.8742405935898888 -11.776854784574486 17.35469042858547 -1 -1 
 6 0.8742405935898888 -7.581748693078589 10.602840468080718 0 0 
 82 0.8742405935898888 5.208583159685876 6.697217377127462 0 0 
 62 0.8742405935898888 -13.682408486693163 -8.30624548588482 0 0 
 3 0.8742405935898888 3.7052298116320124 6.986642819718821 0 0 
 49 0.8742405935898888 -1.5572468109976318 -1.1233757759091216 0 0 
 5 0.8742405935898888 -6.220364628048433 -12.184131870496504 0 0 
 18 0.8742405935898888 -10.803293482099027 12.945685077826955 -2 -2 
 24 0.8742405935898888 -9.750904590490986 2.771686849242403 0 0 
 75 0.8742405935898888 -9.481631975184643 -14.53227393806498 0 0 
 23 0.8742405935898888 -18.393607458532255 13.426603661559314 -1 -1 
 55 0.9440404776470813 -0.38815486436655566 -4.035135288348141 0 0 
 51 0.9440404776470813 -13.260207813371707 -19.38428681028395 0 0 
 64 0.9440404776470813 -0.30834534705520084 -17.04294044091595 0 0 
 73 0.9440404776470813 -5.396643686168911 0.987826436676846 0 0 
 86 0.9440404776470813 -9.630754268543509 -13.376267564514972 0 0 
 58 0.9440404776470813 3.907132301410141 4.7459377730761005 0 0 
 44 0.9440404776470813 12.466130423634933 8.861287039077068 0 0 
 67 0.9440404776470813 -12.419729093872041 14.986582861222868 0 0 
 61 0.9440404776470813 19.12810504727557 14.762222990786954 0 0 
 78 0.9440404776470813 -4.686277330667576 10.660516399986836 0 0 
 19 0.9440404776470813 2.0208685128574007 -1.117365939949743 2 2 
 74 0.9440404776470813 -14.915859648333088 14.380482608647066 0 0 
 6 0.9440404776470813 -7.581748693078589 10.602840468080718 0 0 
 65 0.9440404776470813 12.551734779679961 -9.936485377204676 -1 -1 
 53 0.9440404776470813 -13.454021537017509 13.01154306897319 0 0 
 83 0.9440404776470813 11.694341143619459 15.360031663505866 0 0 
 35 0.9440404776470813 -11.079637738684582 -14.579829593156607 1 1 
 33 0.9440404776470813 -11.574852106315978 7.550462329010356 -2 -2 
 31 0.9440404776470813 10.78170967989119 5.410543907070631 0 0 
 54 0.9440404776470813 19.22310070314737 18.157318862387932 0 0 
 76 0.9440404776470813 3.562773517058387 4.919344548611216 0 0 
 20 0.9440404776470813 10.646553585553336 -16.90855108106885 0 0 
 80 0.9440404776470813 -2.5287723489215583 10.004214021588377 0 0 
 27 0.9440404776470813 -15.364660936409493 7.421403601860239 0 0 
 12 0.9440404776470813 10.790132331461171 18.72924936134638 1 1 
 41 0.9440404776470813 19.025704142992872 -16.692093868453078 0 0 
 89 0.9440404776470813 -5.309673688691529 -6.473523558282489 0 0 
 90 0.9440404776470813 -5.378046639912831 17.281381248557455 0 0 
 63 0.9440404776470813 -5.359960121553146 -6.808910216553386 0 0 
 23 0.9440404776470813 -18.393607458532255 13.426603661559314 -1 -1 
 49 0.9440404776470813 -1.5572468109976318 -1.1233757759091216 0 0 
 11 0.9440404776470813 -15.84859431361239 4.366823511798027 1 1 
 13 0.9440404776470813 -5.069633181947571 9.878948318736859 0 0 
 77 0.9440404776470813 2.539954100051991 1.7949913120392895 0 0 
 2 0.9440404776470813 13.08336197920077 7.866904838700848 0 0 
 7 0.9440404776470813 -12.559122958651795 -15.02210994318777 0 0 
 48 0.9440404776470813 9.444919765806272 17.6304073543596 0 0 
 75 0.9440404776470813 -9.481631975184643 -14.53227393806498 0 0 
 36 0.9440404776470813 17.00557911147455 -0.8391659505986233 1 1 
 14 0.9440404776470813 -12.227053252494873 -19.005302536966955 0 0 
 57 0.9440404776470813 3.4859301819992408 -7.436198341448732 0 0 
 72 0.9440404776470813 17.024768731197067 15.283694415028867 0 0 
 5 0.9440404776470813 -6.220364628048433 -12.184131870496504 0 0 
 39 0.9440404776470813 -5.05781154479386 18.862872736555406 0 0 
 60 0.9440404776470813 9.098939729228467 4.233798299775415 0 0 
 43 0.9440404776470813 -6.162816136405525 -4.552003484270968 0 0 
 30 0.9440404776470813 -13.182307898507894 -8.958480617479516 0 0 
 9 0.9440404776470813 -4.94006398169114 -13.82750801046523 0 0 
 1 0.9440404776470813 -6.559786282193222 6.903200500044626 0 0 
 66 0.9440404776470813 9.650024562178176 -15.337028679930116 0 0 
 25 0.9440404776470813 16.733804236395557 9.11056992205882 0 0 
 46 0.9440404776470813 8.450402785947626 13.822852924495113 0 0 
 47 0.9440404776470813 -1.9982144826272223 8.502864246115744 0 0 
 87 0.9440404776470813 12.439267688096264 13.350328983617842 2 2 
 38 0.9440404776470813 13.615834250209176 -8.859895258400106 0 0 
 29 0.9440404776470813 -4.712429806496932 4.746406362943554 0 0 
 26 0.9440404776470813 -19.25748528536692 19.083419643415006 0 0 
 34 0.9440404776470813 -19.08071653588689 13.850652585694316 0 0 
 42 0.9440404776470813 7.197410033031856 -13.418264441292147 0 0 
 45 0.9440404776470813 -10.776612395533705 -19.344392676312086 0 0 
 79 0.9440404776470813 0.8910569228261852 -7.557194181443162 0 0 
 15 0.9440404776470813 -7.519190256525442 -1.3540062339448606 2 2 
 32 0.9440404776470813 -2.674793027485206 11.77297704706987 0 0 
 82 0.9440404776470813 5.208583159685876 6.697217377127462 0 0 
 70 0.9440404776470813 -11.776854784574486 17.35469042858547 -1 -1 
 21 0.9440404776470813 5.2125880637333495 10.411173866490635 0 0 
 81 0.9440404776470813 -11.463407065676664 -0.5982819875785471 -1 -1 
 56 0.9440404776470813 -5.820920287329406 -7.310567605107249 0 0 
 10 0.9440404776470813 12.956119612766265 3.0384664343199175 0 0 
 24 0.9440404776470813 -9.750904590490986 2.771686849242403 0 0 
 71 0.9440404776470813 -7.037168159408072 8.015605317551355 0 0 
 50 0.9440404776470813 17.599858459013706 8.398878313775532 0 0 
 88 0.9440404776470813 -3.3697728116271106 9.412208119527643 0 0 
 84 0.9440404776470813 -19.0540488157301 4.95356792121487 0 0 
 18 0.9440404776470813 -10.803293482099027 12.945685077826955 -2 -2 
 3 0.9440404776470813 3.7052298116320124 6.986642819718821 0 0 
 17 0.9440404776470813 7.579435062500405 15.399753624436336 0 0 
 37 0.9440404776470813 16.87636812983778 -17.180208671219635 0 0 
 68 0.9440404776470813 -4.187036019648434 15.487310076159217 0 0 
 22 0.9440404776470813 16.330838041040064 -14.269655355350952 0 0 
 59 0.9440404776470813 2.7434302064194096 4.367502652179284 -2 -2 
 40 0.9440404776470813 -11.434940188328202 16.943455046018542 0 0 
 8 0.9440404776470813 -5.11746919706504 9.639346701191863 0 0 
 85 0.9440404776470813 -8.513301081780673 -9.380606096226595 0 0 
 4 0.9440404776470813 13.930100575548057 -8.50695034772436 0 0 
 62 0.9440404776470813 -13.682408486693163 -8.30624548588482 0 0 
 16 0.9440404776470813 10.26635618005488 7.616119073824904 0 0 
 69 0.9440404776470813 -17.199053486097124 3.1625103085788275 0 0 
 28 0.9440404776470813 9.672758555553541 -17.070920513099896 0 0 
 52 0.9440404776470813 12.71544337811304 -10.206310020445384 0 0 
 61 0.9648198618642952 19.12810504727557 14.762222990786954 0 0 
 6 0.9648198618642952 -7.581748693078589 10.602840468080718 0 0 
 53 0.9648198618642952 -13.454021537017509 13.01154306897319 0 0 
 51 0.9648198618642952 -13.260207813371707 -19.38428681028395 0 0 
 82 0.9648198618642952 5.208583159685876 6.697217377127462 0 0 
 88 0.9648198618642952 -3.3697728116271106 9.412208119527643 0 0 
 86 0.9648198618642952 -9.630754268543509 -13.376267564514972 0 0 
 57 0.9648198618642952 3.4859301819992408 -7.436198341448732 0 0 
 56 0.9648198618642952 -5.820920287329406 -7.310567605107249 0 0 
 47 0.9648198618642952 -1.9982144826272223 8.502864246115744 0 0 
 60 0.9648198618642952 9.098939729228467 4.233798299775415 0 0 
 37 0.9648198618642952 16.87636812983778 -17.180208671219635 0 0 
 24 0.9648198618642952 -9.750904590490986 2.771686849242403 0 0 
 42 0.9648198618642952 7.197410033031856 -13.418264441292147 0 0 
 39 0.9648198618642952 -5.05781154479386 18.862872736555406 0 0 
 84 0.9648198618642952 -19.0540488157301 4.95356792121487 0 0 
 54 0.9648198618642952 19.22310070314737 18.157318862387932 0 0 
 19 0.9648198618642952 2.0208685128574007 -1.117365939949743 2 2 
 36 0.9648198618642952 17.00557911147455 -0.8391659505986233 1 1 
 52 0.9648198618642952 12.71544337811304 -10.206310020445384 0 0 
 58 0.9648198618642952 3.907132301410141 4.7459377730761005 0 0 
 25 0.9648198618642952 16.733804236395557 9.11056992205882 0 0 
 7 0.9648198618642952 -12.559122958651795 -15.02210994318777 0 0 
 65 0.9648198618642952 12.551734779679961 -9.936485377204676 -1 -1 
 28 0.9648198618642952 9.672758555553541 -17.070920513099896 0 0 
 38 0.9648198618642952 13.615834250209176 -8.859895258400106 0 0 
 13 0.9648198618642952 -5.069633181947571 9.878948318736859 0 0 
 44 0.9648198618642952 12.466130423634933 8.861287039077068 0 0 
 33 0.9648198618642952 -11.574852106315978 7.550462329010356 -2 -2 
 14 0.9648198618642952 -12.227053252494873 -19.005302536966955 0 0 
 50 0.9648198618642952 17.599858459013706 8.398878313775532 0 0 
 62 0.9648198618642952 -13.682408486693163 -8.30624548588482 0 0 
 17 0.9648198618642952 7.579435062500405 15.399753624436336 0 0 
 8 0.9648198618642952 -5.11746919706504 9.639346701191863 0 0 
 77 0.9648198618642952 2.539954100051991 1.7949913120392895 0 0 
 89 0.9648198618642952 -5.309673688691529 -6.473523558282489 0 0 
