key current-time xcor ycor available-power actual-power
 49 0 -14.215430957386406 0.5199200203375939 0 0 
 89 0 -12.251758078525075 -5.0744895519997115 0 0 
 64 0 -3.272797440931358 -17.938118535442612 0 0 
 65 0 -18.598171750723875 14.882858525946727 -2 -2 
 16 0 -16.46282152694806 -14.199890631608547 0 0 
 57 0.1682892666296512 7.705330602397631 -8.871674410727728 0 0 
 65 0.1682892666296512 -18.598171750723875 14.882858525946727 -2 -2 
 25 0.1682892666296512 13.60644993290685 -12.43527285374646 0 0 
 39 0.1682892666296512 2.661058324673729 -13.206643455250171 0 0 
 51 0.1682892666296512 -16.10043957835053 -12.014161757525065 0 0 
 68 0.1682892666296512 -11.025211298482468 5.304320059467589 0 0 
 91 0.1682892666296512 7.29472160722193 -18.261526333459578 0 0 
 52 0.1682892666296512 2.894421963739548 4.078222901303736 0 0 
 11 0.1682892666296512 15.36403464834063 -4.230785255601954 0 0 
 67 0.1682892666296512 17.32416721267468 12.752114531265105 0 0 
 45 0.1682892666296512 -18.38719175702079 -0.036609604151745856 -2 -2 
 69 0.1682892666296512 -3.6046917260186064 18.541337051221344 0 0 
 47 0.1682892666296512 6.384991103494759 14.159370134766231 0 0 
 12 0.1682892666296512 11.726816623468356 -11.655637732917038 0 0 
 9 0.1682892666296512 12.71420639681355 -16.999108978899788 0 0 
 92 0.1682892666296512 15.438903748442039 14.056188102668406 0 0 
 49 0.1682892666296512 -14.215430957386406 0.5199200203375939 0 0 
 95 0.1682892666296512 -0.15078646929498749 17.397384916592323 0 0 
 59 0.1682892666296512 -12.315063764293004 -6.352283244508137 0 0 
 58 0.1682892666296512 -6.2457547171908185 -1.5804429575543264 0 0 
 80 0.1682892666296512 11.59478907082537 -14.010573173040882 0 0 
 61 0.1682892666296512 6.2941198816081645 14.470384429743484 0 0 
 16 0.1682892666296512 -16.46282152694806 -14.199890631608547 0 0 
 3 0.1682892666296512 -16.60793627700512 -14.520611633863437 0 0 
 32 0.1682892666296512 -15.168035564878672 -3.3834173959025717 0 0 
 18 0.1682892666296512 12.333829627433627 -16.009122662234894 0 0 
 64 0.1682892666296512 -3.272797440931358 -17.938118535442612 0 0 
 38 0.1682892666296512 11.610902597077304 -8.444095778861454 0 0 
 46 0.1682892666296512 -3.202222681187716 -0.26310614589331766 0 0 
 48 0.1682892666296512 3.5021859213579076 5.090909705490985 0 0 
 13 0.1682892666296512 -12.384638287918762 3.2251856391075933 0 0 
 71 0.1682892666296512 14.216894231671956 -1.7768129793726921 0 0 
 74 0.1682892666296512 -4.4521338584666665 14.12944097780794 0 0 
 30 0.1682892666296512 14.604386210581406 1.8969447297773896 0 0 
 7 0.1682892666296512 -11.333604882875461 -17.06305398614219 0 0 
 15 0.1682892666296512 -16.796292422657505 -15.717195993727481 0 0 
 86 0.1682892666296512 7.615099106060727 -16.368621285697497 0 0 
 93 0.1682892666296512 9.496579835549271 -5.3490580216294585 0 0 
 2 0.1682892666296512 -13.058094326197816 -2.871400041575007 0 0 
 78 0.1682892666296512 -18.475583554632987 -7.1468820546393586 2 2 
 10 0.1682892666296512 17.514367172061707 17.93369294860508 0 0 
 24 0.1682892666296512 15.402516522199141 15.160322702797492 0 0 
 26 0.1682892666296512 16.106970262294716 6.019823380640777 0 0 
 99 0.1682892666296512 -10.798110824440775 8.728187887053924 0 0 
 28 0.1682892666296512 -6.787493959818966 2.2121869707830926 0 0 
 36 0.1682892666296512 1.1933366094340874 14.939545729282887 0 0 
 100 0.1682892666296512 10.465717066019742 17.33280817287443 0 0 
 87 0.1682892666296512 -18.91225658806392 -15.529671868255654 0 0 
 27 0.1682892666296512 15.416768312176846 12.56840418202209 0 0 
 43 0.1682892666296512 -14.591309993267608 4.556269909780253 0 0 
 4 0.1682892666296512 19.388356239038018 -13.32828953788857 0 0 
 5 0.1682892666296512 15.964842390332286 12.649906939702879 0 0 
 22 0.1682892666296512 -9.046320794927139 6.129621305659237 0 0 
 54 0.1682892666296512 -17.000469873789825 18.882847032060212 0 0 
 73 0.1682892666296512 8.126630206496673 -7.910012003960964 0 0 
 94 0.1682892666296512 -16.550522309094315 0.5879549816869752 0 0 
 31 0.1682892666296512 14.183600205471809 7.070280882746667 0 0 
 20 0.1682892666296512 5.803071238378412 12.89554354778069 0 0 
 90 0.1682892666296512 -14.492477828327798 10.79987130511568 0 0 
 37 0.1682892666296512 19.00061928039795 -16.736568276867025 0 0 
 62 0.1682892666296512 12.040783441130912 10.150206210332318 0 0 
 29 0.1682892666296512 -1.8830727673916177 13.380979819939418 0 0 
 21 0.1682892666296512 -13.233796056336002 -3.160725500243769 0 0 
 77 0.1682892666296512 -8.774494457818811 -5.646961837242811 0 0 
 89 0.1682892666296512 -12.251758078525075 -5.0744895519997115 0 0 
 72 0.1682892666296512 -5.663656742383887 -3.655876210479179 0 0 
 23 0.1682892666296512 3.037530650046335 13.703509558858984 0 0 
 55 0.1682892666296512 8.615384517279441 -2.242072310204376 0 0 
 40 0.1682892666296512 -16.612605613188947 8.766634724330583 0 0 
 1 0.1682892666296512 8.829123141286711 -15.27536168980204 0 0 
 84 0.1682892666296512 15.242517947076204 5.940617400445511 0 0 
 98 0.1682892666296512 17.816066043407712 17.222148185126024 0 0 
 56 0.1682892666296512 -18.314860753370866 -5.085812877134862 0 0 
 42 0.1682892666296512 -12.977399694370977 -3.921025171168971 -2 -2 
 14 0.1682892666296512 0.8262503179592483 0.10037033531333818 0 0 
 79 0.1682892666296512 -16.39316649625691 -9.840023973816965 0 0 
 44 0.1682892666296512 -9.842294678497586 -2.4365472216950175 0 0 
 60 0.1682892666296512 17.524462416950804 8.891137916375458 0 0 
 19 0.1682892666296512 14.29802566114202 -8.770871159222885 0 0 
 75 0.1682892666296512 4.349042204196294 18.69129310564053 0 0 
 50 0.1682892666296512 -17.645376803254592 2.2197295895608047 -2 -2 
 17 0.1682892666296512 7.024602378549337 -6.612786041708922 0 0 
 63 0.1682892666296512 -13.410793770993955 -17.445381230439523 0 0 
 82 0.1682892666296512 16.44187201998754 14.912898099020367 0 0 
 53 0.1682892666296512 -5.372381745576042 -4.247813827899459 0 0 
 6 0.1682892666296512 -2.2892437156268644 -1.3297231535287253 0 0 
 88 0.1682892666296512 -0.1575186956154276 1.479979146345911 2 2 
 66 0.1682892666296512 8.764837741410485 -10.97558495374398 2 2 
 85 0.1682892666296512 12.44317496119238 9.287966572433607 0 0 
 83 0.1682892666296512 3.9148491074741836 16.528962450375563 0 0 
 96 0.1682892666296512 -5.070931854353032 -1.5688770156730074 0 0 
 8 0.1682892666296512 -8.866956506622158 -0.02788126672930886 0 0 
 76 0.1682892666296512 -14.57815324584203 -11.756317280684613 0 0 
 35 0.1682892666296512 -13.148244617829903 -13.705859056375873 0 0 
 33 0.1682892666296512 4.102312902134572 13.217687994257169 2 2 
 97 0.1682892666296512 -13.494372865830984 3.0598547244763146 2 2 
 70 0.1682892666296512 12.179654766893009 -10.601262013895894 -2 -2 
 81 0.1682892666296512 16.442716509735895 0.6548190751516957 0 0 
 41 0.1682892666296512 6.8004090952422676 13.103768614487183 0 0 
 34 0.1682892666296512 -11.317023231769145 10.153025018796578 0 0 
 8 0.22586887721424365 -8.866956506622158 -0.02788126672930886 0 0 
 47 0.22586887721424365 6.384991103494759 14.159370134766231 0 0 
 6 0.22586887721424365 -2.2892437156268644 -1.3297231535287253 0 0 
 68 0.22586887721424365 -11.025211298482468 5.304320059467589 0 0 
 79 0.22586887721424365 -16.39316649625691 -9.840023973816965 0 0 
 4 0.22586887721424365 19.388356239038018 -13.32828953788857 0 0 
 72 0.22586887721424365 -5.663656742383887 -3.655876210479179 0 0 
 23 0.22586887721424365 3.037530650046335 13.703509558858984 0 0 
 52 0.22586887721424365 2.894421963739548 4.078222901303736 0 0 
 22 0.22586887721424365 -9.046320794927139 6.129621305659237 0 0 
 56 0.22586887721424365 -18.314860753370866 -5.085812877134862 0 0 
 92 0.22586887721424365 15.438903748442039 14.056188102668406 0 0 
 16 0.22586887721424365 -16.46282152694806 -14.199890631608547 0 0 
 38 0.22586887721424365 11.610902597077304 -8.444095778861454 0 0 
 34 0.22586887721424365 -11.317023231769145 10.153025018796578 0 0 
 59 0.22586887721424365 -12.315063764293004 -6.352283244508137 0 0 
 98 0.22586887721424365 17.816066043407712 17.222148185126024 0 0 
 42 0.22586887721424365 -12.977399694370977 -3.921025171168971 -2 -2 
 94 0.22586887721424365 -16.550522309094315 0.5879549816869752 0 0 
 89 0.22586887721424365 -12.251758078525075 -5.0744895519997115 0 0 
 18 0.22586887721424365 12.333829627433627 -16.009122662234894 0 0 
 39 0.22586887721424365 2.661058324673729 -13.206643455250171 0 0 
 82 0.22586887721424365 16.44187201998754 14.912898099020367 0 0 
 31 0.22586887721424365 14.183600205471809 7.070280882746667 0 0 
 35 0.22586887721424365 -13.148244617829903 -13.705859056375873 0 0 
 2 0.22586887721424365 -13.058094326197816 -2.871400041575007 0 0 
 74 0.22586887721424365 -4.4521338584666665 14.12944097780794 0 0 
 91 0.22586887721424365 7.29472160722193 -18.261526333459578 0 0 
 81 0.22586887721424365 16.442716509735895 0.6548190751516957 0 0 
 67 0.22586887721424365 17.32416721267468 12.752114531265105 0 0 
 1 0.22586887721424365 8.829123141286711 -15.27536168980204 0 0 
 37 0.22586887721424365 19.00061928039795 -16.736568276867025 0 0 
 17 0.22586887721424365 7.024602378549337 -6.612786041708922 0 0 
 49 0.22586887721424365 -14.215430957386406 0.5199200203375939 0 0 
 21 0.22586887721424365 -13.233796056336002 -3.160725500243769 0 0 
 88 0.22586887721424365 -0.1575186956154276 1.479979146345911 2 2 
 40 0.22586887721424365 -16.612605613188947 8.766634724330583 0 0 
 97 0.22586887721424365 -13.494372865830984 3.0598547244763146 2 2 
 27 0.22586887721424365 15.416768312176846 12.56840418202209 0 0 
 26 0.22586887721424365 16.106970262294716 6.019823380640777 0 0 
 99 0.22586887721424365 -10.798110824440775 8.728187887053924 0 0 
 61 0.22586887721424365 6.2941198816081645 14.470384429743484 0 0 
 60 0.22586887721424365 17.524462416950804 8.891137916375458 0 0 
 57 0.22586887721424365 7.705330602397631 -8.871674410727728 0 0 
 12 0.22586887721424365 11.726816623468356 -11.655637732917038 0 0 
 30 0.22586887721424365 14.604386210581406 1.8969447297773896 0 0 
 77 0.22586887721424365 -8.774494457818811 -5.646961837242811 0 0 
 78 0.22586887721424365 -18.475583554632987 -7.1468820546393586 2 2 
 76 0.22586887721424365 -14.57815324584203 -11.756317280684613 0 0 
 43 0.22586887721424365 -14.591309993267608 4.556269909780253 0 0 
 19 0.22586887721424365 14.29802566114202 -8.770871159222885 0 0 
 69 0.22586887721424365 -3.6046917260186064 18.541337051221344 0 0 
 36 0.22586887721424365 1.1933366094340874 14.939545729282887 0 0 
 25 0.22586887721424365 13.60644993290685 -12.43527285374646 0 0 
 10 0.22586887721424365 17.514367172061707 17.93369294860508 0 0 
 80 0.22586887721424365 11.59478907082537 -14.010573173040882 0 0 
 100 0.22586887721424365 10.465717066019742 17.33280817287443 0 0 
 14 0.22586887721424365 0.8262503179592483 0.10037033531333818 0 0 
 9 0.22586887721424365 12.71420639681355 -16.999108978899788 0 0 
 95 0.22586887721424365 -0.15078646929498749 17.397384916592323 0 0 
 62 0.22586887721424365 12.040783441130912 10.150206210332318 0 0 
 63 0.22586887721424365 -13.410793770993955 -17.445381230439523 0 0 
 7 0.22586887721424365 -11.333604882875461 -17.06305398614219 0 0 
 85 0.22586887721424365 12.44317496119238 9.287966572433607 0 0 
 51 0.22586887721424365 -16.10043957835053 -12.014161757525065 0 0 
 3 0.22586887721424365 -16.60793627700512 -14.520611633863437 0 0 
 32 0.22586887721424365 -15.168035564878672 -3.3834173959025717 0 0 
 86 0.22586887721424365 7.615099106060727 -16.368621285697497 0 0 
 54 0.22586887721424365 -17.000469873789825 18.882847032060212 0 0 
 11 0.22586887721424365 15.36403464834063 -4.230785255601954 0 0 
 75 0.22586887721424365 4.349042204196294 18.69129310564053 0 0 
 28 0.22586887721424365 -6.787493959818966 2.2121869707830926 0 0 
 73 0.22586887721424365 8.126630206496673 -7.910012003960964 0 0 
 20 0.22586887721424365 5.803071238378412 12.89554354778069 0 0 
 93 0.22586887721424365 9.496579835549271 -5.3490580216294585 0 0 
 55 0.22586887721424365 8.615384517279441 -2.242072310204376 0 0 
 15 0.22586887721424365 -16.796292422657505 -15.717195993727481 0 0 
 64 0.22586887721424365 -3.272797440931358 -17.938118535442612 0 0 
 46 0.22586887721424365 -3.202222681187716 -0.26310614589331766 0 0 
 33 0.22586887721424365 4.102312902134572 13.217687994257169 2 2 
 29 0.22586887721424365 -1.8830727673916177 13.380979819939418 0 0 
 44 0.22586887721424365 -9.842294678497586 -2.4365472216950175 0 0 
 48 0.22586887721424365 3.5021859213579076 5.090909705490985 0 0 
 45 0.22586887721424365 -18.38719175702079 -0.036609604151745856 -2 -2 
 83 0.22586887721424365 3.9148491074741836 16.528962450375563 0 0 
 65 0.22586887721424365 -18.598171750723875 14.882858525946727 -2 -2 
 71 0.22586887721424365 14.216894231671956 -1.7768129793726921 0 0 
 50 0.22586887721424365 -17.645376803254592 2.2197295895608047 -2 -2 
 5 0.22586887721424365 15.964842390332286 12.649906939702879 0 0 
 66 0.22586887721424365 8.764837741410485 -10.97558495374398 2 2 
 90 0.22586887721424365 -14.492477828327798 10.79987130511568 0 0 
 70 0.22586887721424365 12.179654766893009 -10.601262013895894 -2 -2 
 24 0.22586887721424365 15.402516522199141 15.160322702797492 0 0 
 41 0.22586887721424365 6.8004090952422676 13.103768614487183 0 0 
 84 0.22586887721424365 15.242517947076204 5.940617400445511 0 0 
 13 0.22586887721424365 -12.384638287918762 3.2251856391075933 0 0 
 53 0.22586887721424365 -5.372381745576042 -4.247813827899459 0 0 
 87 0.22586887721424365 -18.91225658806392 -15.529671868255654 0 0 
 58 0.22586887721424365 -6.2457547171908185 -1.5804429575543264 0 0 
 96 0.22586887721424365 -5.070931854353032 -1.5688770156730074 0 0 
 40 0.25300425223381523 -16.612605613188947 8.766634724330583 0 0 
 53 0.25300425223381523 -5.372381745576042 -4.247813827899459 0 0 
 52 0.25300425223381523 2.894421963739548 4.078222901303736 0 0 
 65 0.25300425223381523 -18.598171750723875 14.882858525946727 -2 -2 
 25 0.25300425223381523 13.60644993290685 -12.43527285374646 0 0 
 59 0.25300425223381523 -12.315063764293004 -6.352283244508137 0 0 
 92 0.25300425223381523 15.438903748442039 14.056188102668406 0 0 
 12 0.25300425223381523 11.726816623468356 -11.655637732917038 0 0 
 23 0.25300425223381523 3.037530650046335 13.703509558858984 0 0 
 1 0.25300425223381523 8.829123141286711 -15.27536168980204 0 0 
 11 0.25300425223381523 15.36403464834063 -4.230785255601954 0 0 
 83 0.25300425223381523 3.9148491074741836 16.528962450375563 0 0 
 17 0.25300425223381523 7.024602378549337 -6.612786041708922 0 0 
 87 0.25300425223381523 -18.91225658806392 -15.529671868255654 0 0 
 69 0.25300425223381523 -3.6046917260186064 18.541337051221344 0 0 
 77 0.25300425223381523 -8.774494457818811 -5.646961837242811 0 0 
 7 0.25300425223381523 -11.333604882875461 -17.06305398614219 0 0 
 36 0.25300425223381523 1.1933366094340874 14.939545729282887 0 0 
 19 0.25300425223381523 14.29802566114202 -8.770871159222885 0 0 
 63 0.25300425223381523 -13.410793770993955 -17.445381230439523 0 0 
 42 0.25300425223381523 -12.977399694370977 -3.921025171168971 -2 -2 
 62 0.25300425223381523 12.040783441130912 10.150206210332318 0 0 
 24 0.25300425223381523 15.402516522199141 15.160322702797492 0 0 
 3 0.25300425223381523 -16.60793627700512 -14.520611633863437 0 0 
 97 0.25300425223381523 -13.494372865830984 3.0598547244763146 2 2 
 51 0.25300425223381523 -16.10043957835053 -12.014161757525065 0 0 
 31 0.25300425223381523 14.183600205471809 7.070280882746667 0 0 
 57 0.25300425223381523 7.705330602397631 -8.871674410727728 0 0 
 27 0.25300425223381523 15.416768312176846 12.56840418202209 0 0 
 95 0.25300425223381523 -0.15078646929498749 17.397384916592323 0 0 
 75 0.25300425223381523 4.349042204196294 18.69129310564053 0 0 
 22 0.25300425223381523 -9.046320794927139 6.129621305659237 0 0 
 93 0.25300425223381523 9.496579835549271 -5.3490580216294585 0 0 
 84 0.25300425223381523 15.242517947076204 5.940617400445511 0 0 
 4 0.25300425223381523 19.388356239038018 -13.32828953788857 0 0 
 58 0.25300425223381523 -6.2457547171908185 -1.5804429575543264 0 0 
 98 0.25300425223381523 17.816066043407712 17.222148185126024 0 0 
 50 0.25300425223381523 -17.645376803254592 2.2197295895608047 -2 -2 
 71 0.25300425223381523 14.216894231671956 -1.7768129793726921 0 0 
 56 0.25300425223381523 -18.314860753370866 -5.085812877134862 0 0 
 28 0.25300425223381523 -6.787493959818966 2.2121869707830926 0 0 
 94 0.25300425223381523 -16.550522309094315 0.5879549816869752 0 0 
 41 0.25300425223381523 6.8004090952422676 13.103768614487183 0 0 
 43 0.25300425223381523 -14.591309993267608 4.556269909780253 0 0 
 45 0.25300425223381523 -18.38719175702079 -0.036609604151745856 -2 -2 
 15 0.25300425223381523 -16.796292422657505 -15.717195993727481 0 0 
 44 0.25300425223381523 -9.842294678497586 -2.4365472216950175 0 0 
 26 0.25300425223381523 16.106970262294716 6.019823380640777 0 0 
 49 0.25300425223381523 -14.215430957386406 0.5199200203375939 0 0 
 8 0.25300425223381523 -8.866956506622158 -0.02788126672930886 0 0 
 100 0.25300425223381523 10.465717066019742 17.33280817287443 0 0 
 79 0.25300425223381523 -16.39316649625691 -9.840023973816965 0 0 
 35 0.25300425223381523 -13.148244617829903 -13.705859056375873 0 0 
 32 0.25300425223381523 -15.168035564878672 -3.3834173959025717 0 0 
 39 0.25300425223381523 2.661058324673729 -13.206643455250171 0 0 
 80 0.25300425223381523 11.59478907082537 -14.010573173040882 0 0 
 5 0.25300425223381523 15.964842390332286 12.649906939702879 0 0 
 47 0.25300425223381523 6.384991103494759 14.159370134766231 0 0 
 55 0.25300425223381523 8.615384517279441 -2.242072310204376 0 0 
 13 0.25300425223381523 -12.384638287918762 3.2251856391075933 0 0 
 66 0.25300425223381523 8.764837741410485 -10.97558495374398 2 2 
 48 0.25300425223381523 3.5021859213579076 5.090909705490985 0 0 
 37 0.25300425223381523 19.00061928039795 -16.736568276867025 0 0 
 2 0.25300425223381523 -13.058094326197816 -2.871400041575007 0 0 
 91 0.25300425223381523 7.29472160722193 -18.261526333459578 0 0 
 60 0.25300425223381523 17.524462416950804 8.891137916375458 0 0 
 61 0.25300425223381523 6.2941198816081645 14.470384429743484 0 0 
 73 0.25300425223381523 8.126630206496673 -7.910012003960964 0 0 
 70 0.25300425223381523 12.179654766893009 -10.601262013895894 -2 -2 
 46 0.25300425223381523 -3.202222681187716 -0.26310614589331766 0 0 
 33 0.25300425223381523 4.102312902134572 13.217687994257169 2 2 
 21 0.25300425223381523 -13.233796056336002 -3.160725500243769 0 0 
 88 0.25300425223381523 -0.1575186956154276 1.479979146345911 2 2 
 29 0.25300425223381523 -1.8830727673916177 13.380979819939418 0 0 
 90 0.25300425223381523 -14.492477828327798 10.79987130511568 0 0 
 74 0.25300425223381523 -4.4521338584666665 14.12944097780794 0 0 
 72 0.25300425223381523 -5.663656742383887 -3.655876210479179 0 0 
 16 0.25300425223381523 -16.46282152694806 -14.199890631608547 0 0 
 64 0.25300425223381523 -3.272797440931358 -17.938118535442612 0 0 
 78 0.25300425223381523 -18.475583554632987 -7.1468820546393586 2 2 
 6 0.25300425223381523 -2.2892437156268644 -1.3297231535287253 0 0 
 89 0.25300425223381523 -12.251758078525075 -5.0744895519997115 0 0 
 14 0.25300425223381523 0.8262503179592483 0.10037033531333818 0 0 
 96 0.25300425223381523 -5.070931854353032 -1.5688770156730074 0 0 
 9 0.25300425223381523 12.71420639681355 -16.999108978899788 0 0 
 54 0.25300425223381523 -17.000469873789825 18.882847032060212 0 0 
 34 0.25300425223381523 -11.317023231769145 10.153025018796578 0 0 
 85 0.25300425223381523 12.44317496119238 9.287966572433607 0 0 
 68 0.25300425223381523 -11.025211298482468 5.304320059467589 0 0 
 76 0.25300425223381523 -14.57815324584203 -11.756317280684613 0 0 
 30 0.25300425223381523 14.604386210581406 1.8969447297773896 0 0 
 18 0.25300425223381523 12.333829627433627 -16.009122662234894 0 0 
 10 0.25300425223381523 17.514367172061707 17.93369294860508 0 0 
 86 0.25300425223381523 7.615099106060727 -16.368621285697497 0 0 
 99 0.25300425223381523 -10.798110824440775 8.728187887053924 0 0 
 67 0.25300425223381523 17.32416721267468 12.752114531265105 0 0 
 20 0.25300425223381523 5.803071238378412 12.89554354778069 0 0 
 81 0.25300425223381523 16.442716509735895 0.6548190751516957 0 0 
 82 0.25300425223381523 16.44187201998754 14.912898099020367 0 0 
 38 0.25300425223381523 11.610902597077304 -8.444095778861454 0 0 
 53 0.3138781361651691 -5.372381745576042 -4.247813827899459 0 0 
 43 0.3138781361651691 -14.591309993267608 4.556269909780253 0 0 
 25 0.3138781361651691 13.60644993290685 -12.43527285374646 0 0 
 16 0.3138781361651691 -16.46282152694806 -14.199890631608547 0 0 
 85 0.3138781361651691 12.44317496119238 9.287966572433607 0 0 
 11 0.3138781361651691 15.36403464834063 -4.230785255601954 0 0 
 29 0.3138781361651691 -1.8830727673916177 13.380979819939418 0 0 
 71 0.3138781361651691 14.216894231671956 -1.7768129793726921 0 0 
 89 0.3138781361651691 -12.251758078525075 -5.0744895519997115 0 0 
 3 0.3138781361651691 -16.60793627700512 -14.520611633863437 0 0 
 62 0.3138781361651691 12.040783441130912 10.150206210332318 0 0 
 77 0.3138781361651691 -8.774494457818811 -5.646961837242811 0 0 
 10 0.3138781361651691 17.514367172061707 17.93369294860508 0 0 
 44 0.3138781361651691 -9.842294678497586 -2.4365472216950175 0 0 
 35 0.3138781361651691 -13.148244617829903 -13.705859056375873 0 0 
 93 0.3138781361651691 9.496579835549271 -5.3490580216294585 0 0 
 84 0.3138781361651691 15.242517947076204 5.940617400445511 0 0 
 17 0.3138781361651691 7.024602378549337 -6.612786041708922 0 0 
 99 0.3138781361651691 -10.798110824440775 8.728187887053924 0 0 
 65 0.3138781361651691 -18.598171750723875 14.882858525946727 -2 -2 
 100 0.3138781361651691 10.465717066019742 17.33280817287443 0 0 
 54 0.3138781361651691 -17.000469873789825 18.882847032060212 0 0 
 2 0.3138781361651691 -13.058094326197816 -2.871400041575007 0 0 
 63 0.3138781361651691 -13.410793770993955 -17.445381230439523 0 0 
 21 0.3138781361651691 -13.233796056336002 -3.160725500243769 0 0 
